e2_to_e1,calc_B,calc_C,calc_D,calc_E,calc_F
-2.0,111.5476325323737,82.18899836960568,77.34280864344306,0.0,0.0
-1.984924623115578,111.5476325323737,82.52082259499008,77.73342555108142,0.622016250716013,0.5859303433498586
-1.9698492462311559,111.5476325323737,82.85549885747257,78.12798757193472,1.2490778722231914,1.1778088578683505
-1.9547738693467336,111.5476325323737,83.19305674225915,78.52653328100169,1.8812500268350159,1.7757256269573405
-1.9396984924623115,111.5476325323737,83.53352596376801,78.92910070887866,2.5185987727769223,2.379771880669696
-1.9246231155778895,111.5476325323737,83.87693635167426,79.3357272591582,3.1611910685304383,2.9900399720788315
-1.9095477386934676,111.5476325323737,84.22331783588302,79.74644962001186,3.809094776497212,3.606623349648773
-1.8944723618090453,111.5476325323737,84.57270043037028,80.16130366961691,4.462378665924056,4.229616525281288
-1.8793969849246233,111.5476325323737,84.92511421582671,80.58032437506895,5.121112415024726,4.859115037692596
-1.864321608040201,111.5476325323737,85.2805893210372,81.00354568440675,5.785366612231163,5.49521541075121
-1.849246231155779,111.5476325323737,85.63915590292474,81.43100041135902,6.455212756501872,6.1380151063838495
-1.8341708542713568,111.5476325323737,86.00084412518406,81.86272011240446,7.130723256610725,6.787612471631514
-1.8190954773869348,111.5476325323737,86.36568413542686,82.29873495572141,7.811971429335087,7.444106679411986
-1.8040201005025125,111.5476325323737,86.73370604075642,82.73907358158407,8.499031496456023,8.10759766251704
-1.7889447236180904,111.5476325323737,87.10493988168503,83.1837629537471,9.191978580479326,8.77818604034517
-1.7738693467336686,111.5476325323737,87.4794156043046,83.63282820134297,9.89088869897915,9.45597303784028
-1.7587939698492463,111.5476325323737,87.85716303061491,84.08629245079965,10.595838757461099,10.141060396076336
-1.7437185929648242,111.5476325323737,88.23821182691071,84.54417664727211,11.306906540634285,10.833550273896666
-1.728643216080402,111.5476325323737,88.62259147012408,85.00649936506504,12.024170701976628,11.533545139983708
-1.7135678391959799,111.5476325323737,89.01033121201247,85.47327660651109,12.747710751469121,12.241147654701344
-1.6984924623115578,111.5476325323737,89.40146004107996,85.94452158875752,13.477607041368842,12.956460541018712
-1.6834170854271358,111.5476325323737,89.79600664211175,86.42024451790226,14.213940749882015,13.679586443788539
-1.6683417085427135,111.5476325323737,90.1939993531987,86.90045234991418,14.956793862590748,14.410627776618933
-1.6532663316582914,111.5476325323737,90.59546612012193,87.38514853776452,15.706249151478419,15.14968655554209
-1.6381909547738691,111.5476325323737,91.0004344479625,87.87433276419618,16.462390151390203,15.896864218648568
-1.6231155778894473,111.5476325323737,91.40893134979522,88.36800065955632,17.225301133755387,16.652261430820907
-1.6080402010050252,111.5476325323737,91.82098329232035,88.86614350412466,17.99506707738942,17.415977872667643
-1.5929648241206031,111.5476325323737,92.23661613827996,89.36874791437903,18.77177363618259,18.188112012725377
-1.5778894472361809,111.5476325323737,92.65585508550083,89.87579551265488,19.55550710347255,18.968760861967368
-1.5628140703517588,111.5476325323737,93.07872460239903,90.38726257967866,20.34635437288622,19.758019709628254
-1.5477386934673367,111.5476325323737,93.50524835977504,90.90311968948241,21.144402895426524,20.555981839330194
-1.5326633165829147,111.5476325323737,93.93544915872242,91.42333132624537,21.949740632565803,21.362738224474423
-1.5175879396984926,111.5476325323737,94.36934885446675,91.94785548265429,22.762456005097498,22.178377201846253
-1.5025125628140703,111.5476325323737,94.80696827594538,92.47664323943074,23.58263783748392,23.00298412237097
-1.4874371859296482,111.5476325323737,95.24832714093222,93.00963832574237,24.410375297424835,23.83664097795407
-1.4723618090452262,111.5476325323737,95.69344396650612,93.54677666029554,25.245757830359654,24.67942600334431
-1.457286432160804,111.5476325323737,96.14233597465542,94.08798587300197,26.08887508859996,25.53141325197038
-1.442211055276382,111.5476325323737,96.59501899280585,94.63318480722288,26.939816854777508,26.392672144727978
-1.42713567839196,111.5476325323737,97.05150734905308,95.1822830027216,27.7986729592765,27.263266990729296
-1.4120603015075377,111.5476325323737,97.51181376187726,95.73518015960194,28.66553319130563,28.143256479078968
-1.3969849246231156,111.5476325323737,97.9759492241113,96.29176558367617,29.540487203249647,29.032693140806877
-1.3819095477386933,111.5476325323737,98.44392288093128,96.85191761389487,30.423624407926003,29.93162278017354
-1.3668341708542715,111.5476325323737,98.91574190163396,97.41550303268245,31.315033868356476,30.84008387466831
-1.3517587939698492,111.5476325323737,99.39141134496367,97.9823764602593,32.21480417964903,31.758106943149365
-1.3366834170854272,111.5476325323737,99.87093401774854,98.55237973429479,33.12302334256988,32.68571388172591
-1.3216080402010053,111.5476325323737,100.3543103266063,99.1253412765264,34.03977862837148,33.62291726716347
-1.3065326633165828,111.5476325323737,100.84153812247918,99.70107544830209,34.96515643442747,34.569719627803245
-1.291457286432161,111.5476325323737,101.3326125377596,100.27938189735215,35.89924213021131,35.52611268222777
-1.2763819095477387,111.5476325323737,101.82752581577115,100.86004489848058,36.84211989314332,36.49207654618393
-1.2613065326633166,111.5476325323737,102.32626713237428,101.44283269127844,37.79387253381663,37.46757890858776
-1.2462311557788945,111.5476325323737,102.82882240947248,102.02749681840736,38.7545813101027,38.45257417779172
-1.2311557788944723,111.5476325323737,103.33517412020382,102.61377146847639,39.724325729626095,39.44700259969067
-1.2160804020100504,111.5476325323737,103.84530108561299,103.20137282804157,40.7031833400895,40.45078934968463
-1.2010050251256281,111.5476325323737,104.3591782626132,103.78999844779042,41.691229506923364,41.463843601001706
-1.185929648241206,111.5476325323737,104.87677652306382,104.37932662853099,42.688537177729486,42.486057572417145
-1.170854271356784,111.5476325323737,105.39806242380835,104.96901583318501,43.69517663298587,43.517305558983736
-1.1557788944723617,111.5476325323737,105.92299796754187,105.5587041315774,44.71121522247999,44.55744295001257
-1.1407035175879399,111.5476325323737,106.45154035440237,106.14800868542049,45.73671708694172,45.60630523921333
-1.1256281407035176,111.5476325323737,106.98364172421331,106.73652528149589,46.771742864354565,46.663707032613786
-1.1105527638190955,111.5476325323737,107.51924888933868,107.32382792163604,47.816349380434545,47.72944106062708
-1.0954773869346734,111.5476325323737,108.05830305815385,107.90946847868837,48.870589322783154,48.80327720141685
-1.0804020100502512,111.5476325323737,108.6007395491808,108.49297642819405,49.934510898241435,49.88496152351637
-1.0653266331658293,111.5476325323737,109.14648749598821,109.07385866601923,51.0081574729995,50.97421535648134
-1.050251256281407,111.5476325323737,109.69546954301526,109.65159942262069,52.09156719504997,52.0707343991842
-1.035175879396985,111.5476325323737,110.24760153254215,110.22566028499328,53.184772598613286,53.17418787617766
-1.020100502512563,111.5476325323737,110.80279218310243,110.79548033761704,54.287800190213495,54.28421775335507
-1.0050251256281406,111.5476325323737,111.36094275971173,111.36047643386948,55.400670016137994,55.400438024889844
-0.9899497487437185,111.5476325323737,111.92194673637471,111.92004360938401,56.52339521108372,56.52243408413615
-0.9748743718592965,111.5476325323737,112.48568945142681,112.4735556486813,57.655981527867006,57.64976219178639
-0.9597989949748744,111.5476325323737,113.05204775637394,113.02036581606863,58.798426848164326,58.781949055090976
-0.9447236180904524,111.5476325323737,113.62088965900426,113.55980776126117,59.95072067434897,59.91849153232373
-0.9296482412060302,111.5476325323737,114.19207396167157,114.09119660941123,61.11284360260313,61.05885647689595
-0.914572864321608,111.5476325323737,114.76544989578042,114.61383024421819,62.28476677760948,62.202480735555596
-0.8994974874371858,111.5476325323737,115.34085675364757,115.12699079151614,63.46645132926839,63.348771314929735
-0.8844221105527639,111.5476325323737,115.91812351906482,115.62994630918325,64.65784779204118,64.49710573024795
-0.8693467336683418,111.5476325323737,116.49706849805237,116.1219526873848,65.85889550769292,65.64683254940095
-0.8542713567839197,111.5476325323737,117.0774989514621,116.60225576104068,67.06952201239535,66.79727214451576
-0.8391959798994975,111.5476325323737,117.65921073127298,117.0700936340109,68.28964240935693,67.94771766195106
-0.8241206030150754,111.5476325323737,118.24198792260981,117.52469921182563,69.51915872836858,69.09743622001807
-0.8090452261306534,111.5476325323737,118.82560249371595,117.96530293687616,70.75795927389618,70.24567034180816
-0.7939698492462313,111.5476325323737,119.40981395631475,118.3911357168569,72.00591796360689,71.3916396282554
-0.7788944723618092,111.5476325323737,119.99436903900815,118.80143203395133,73.26289365949492,72.53454267399542
-0.7638190954773869,111.5476325323737,120.57900137657509,119.19543321883347,74.528729494064,73.67355922571113
